ID,Bike Rental Date,Total Number of Daily Rides
0,1/1/17,1727
1,1/2/17,1960
2,1/3/17,4537
3,1/4/17,3269
4,1/5/17,2917
5,1/6/17,2516
6,1/7/17,1330
7,1/8/17,1193
8,1/9/17,3816
9,1/10/17,3310
10,1/11/17,3821
11,1/12/17,3071
12,1/13/17,3676
13,1/14/17,2160
14,1/15/17,2195
15,1/16/17,1406
16,1/17/17,4704
17,1/18/17,5337
18,1/19/17,4424
19,1/20/17,4573
20,1/21/17,7697
21,1/22/17,3167
22,1/23/17,5788
23,1/24/17,5762
24,1/25/17,5080
25,1/26/17,4731
26,1/27/17,4376
27,1/28/17,2214
28,1/29/17,1623
29,1/30/17,4486
30,1/31/17,5076
31,2/1/17,5361
32,2/2/17,4251
33,2/3/17,4031
34,2/4/17,2103
35,2/5/17,2817
36,2/6/17,6063
37,2/7/17,4736
38,2/8/17,5043
39,2/9/17,4127
40,2/10/17,4722
41,2/11/17,4023
42,2/12/17,3325
43,2/13/17,6095
44,2/14/17,6740
45,2/15/17,5527
46,2/16/17,5582
47,2/17/17,9042
48,2/18/17,13481
49,2/19/17,11604
50,2/20/17,9763
51,2/21/17,8267
52,2/22/17,10448
53,2/23/17,5926
54,2/24/17,5099
55,2/25/17,1944
56,2/26/17,3223
57,2/27/17,7187
58,2/28/17,5813
59,3/1/17,4456
60,3/2/17,5258
61,3/3/17,5156
62,3/4/17,3141
63,3/5/17,4836
64,3/6/17,7121
65,3/7/17,7855
66,3/8/17,6622
67,3/9/17,6320
68,3/10/17,5192
69,3/11/17,2352
70,3/12/17,2375
71,3/13/17,2535
72,3/14/17,1746
73,3/15/17,3598
74,3/16/17,4989
75,3/17/17,4819
76,3/18/17,3577
77,3/19/17,4483
78,3/20/17,6533
79,3/21/17,6920
80,3/22/17,5512
81,3/23/17,6127
82,3/24/17,10105
83,3/25/17,1675
84,3/26/17,3463
85,3/27/17,5846
86,3/28/17,6608
87,3/29/17,5876
88,3/30/17,3195
89,3/31/17,5115
90,1/1/18,376
91,1/2/18,1637
92,1/3/18,2493
93,1/4/18,2416
94,1/5/18,2228
95,1/6/18,1093
96,1/7/18,1076
97,1/8/18,4663
98,1/9/18,5163
99,1/10/18,5173
100,1/11/18,4473
101,1/12/18,3243
102,1/13/18,1420
103,1/14/18,1206
104,1/15/18,1337
105,1/16/18,2852
106,1/17/18,3343
107,1/18/18,4137
108,1/19/18,4753
109,1/20/18,3951
110,1/21/18,2831
111,1/22/18,4919
112,1/23/18,4142
113,1/24/18,4914
114,1/25/18,5939
115,1/26/18,6707
116,1/27/18,5150
117,1/28/18,2971
118,1/29/18,4351
119,1/30/18,4933
120,1/31/18,5816
121,2/1/18,4425
122,2/2/18,3347
123,2/3/18,2090
124,2/4/18,658
125,2/5/18,2129
126,2/6/18,2862
127,2/7/18,2834
128,2/8/18,3206
129,2/9/18,696
130,2/10/18,842
131,2/11/18,672
132,2/12/18,2684
133,2/13/18,3756
134,2/14/18,4617
135,2/15/18,5297
136,2/16/18,5012
137,2/17/18,1958
138,2/18/18,2241
139,2/19/18,3027
140,2/20/18,3070
141,2/21/18,5165
142,2/22/18,5717
143,2/23/18,5526
144,2/24/18,2996
145,2/25/18,3584
146,2/26/18,7699
147,2/27/18,9309
148,2/28/18,7531
149,3/1/18,3991
150,3/2/18,6496
151,3/3/18,4480
152,3/4/18,4333
153,3/5/18,5108
154,3/6/18,5372
155,3/7/18,5524
156,3/8/18,5616
157,3/9/18,5990
158,3/10/18,4159
159,3/11/18,3387
160,3/12/18,6685
161,3/13/18,5559
162,3/14/18,6977
163,3/15/18,7255
164,3/16/18,6290
165,3/17/18,3937
166,3/18/18,6842
167,3/19/18,6779
168,3/20/18,5878
169,3/21/18,6088
170,3/22/18,6901
171,3/23/18,6597
172,3/24/18,3129
173,3/25/18,3407
174,3/26/18,6575
175,3/27/18,6221
176,3/28/18,7936
177,3/29/18,6273
178,3/30/18,6580
179,3/31/18,4124