ID,Date,Bus Boardings,Rail Boardings,Total Number of Boardings
6224,11/15/17,"826,138","770,507","1,596,645"
6225,11/16/17,"831,869","773,696","1,605,565"
6226,11/17/17,"836,442","779,012","1,615,454"
6227,11/18/17,"426,814","429,256","856,070"
6228,11/19/17,"359,562","330,196","689,758"
6229,11/20/17,"840,370","747,181","1,587,551"
6230,11/21/17,"825,182","745,801","1,570,983"
6231,11/22/17,"677,643","620,904","1,298,547"
6232,11/23/17,"263,654","208,426","472,080"
6233,11/24/17,"503,847","415,069","918,916"
6234,11/25/17,"425,522","369,396","794,918"
6235,11/26/17,"336,930","290,753","627,683"
6236,11/27/17,"839,274","726,945","1,566,219"
6237,11/28/17,"847,910","753,208","1,601,118"
6238,11/29/17,"850,702","761,131","1,611,833"
6239,11/30/17,"850,783","772,769","1,623,552"
6240,12/1/17,"890,982","785,058","1,676,040"
6241,12/2/17,"511,676","461,699","973,375"
6242,12/3/17,"378,519","338,558","717,077"
6243,12/4/17,"855,387","739,950","1,595,337"
6244,12/5/17,"822,703","737,397","1,560,100"
6245,12/6/17,"829,498","742,215","1,571,713"
6246,12/7/17,"794,129","741,934","1,536,063"
6247,12/8/17,"805,911","739,840","1,545,751"
6248,12/9/17,"439,827","405,822","845,649"
6249,12/10/17,"336,156","295,505","631,661"
6250,12/11/17,"807,879","706,163","1,514,042"
6251,12/12/17,"783,312","709,949","1,493,261"
6252,12/13/17,"800,995","715,178","1,516,173"
6253,12/14/17,"790,977","722,667","1,513,644"
6254,12/15/17,"780,679","700,482","1,481,161"
6255,12/16/17,"484,468","419,897","904,365"
6256,12/17/17,"351,260","296,372","647,632"
6257,12/18/17,"784,151","675,289","1,459,440"
6258,12/19/17,"812,618","697,684","1,510,302"
6259,12/20/17,"798,144","683,898","1,482,042"
6260,12/21/17,"769,444","659,956","1,429,400"
6261,12/22/17,"727,262","586,190","1,313,452"
6262,12/23/17,"438,917","324,065","762,982"
6263,12/24/17,"275,937","205,801","481,738"
6264,12/25/17,"164,256","118,654","282,910"
6265,12/26/17,"398,823","327,742","726,565"
6266,12/27/17,"466,856","416,016","882,872"
6267,12/28/17,"509,850","456,611","966,461"
6268,12/29/17,"552,051","466,865","1,018,916"
6269,12/30/17,"335,207","276,381","611,588"
6270,12/31/17,"274,143","235,949","510,092"
6271,1/1/18,"199,845","195,520","395,365"
6272,1/2/18,"507,648","514,174","1,021,822"
6273,1/3/18,"598,578","587,740","1,186,318"
6274,1/4/18,"594,414","591,081","1,185,495"
6275,1/5/18,"597,163","572,525","1,169,688"
6276,1/6/18,"372,807","292,077","664,884"
6277,1/7/18,"284,438","226,604","511,042"
6278,1/8/18,"755,777","664,263","1,420,040"
6279,1/9/18,"780,104","684,704","1,464,808"
6280,1/10/18,"783,008","695,123","1,478,131"
6281,1/11/18,"774,197","695,496","1,469,693"
6282,1/12/18,"730,031","643,915","1,373,946"
6283,1/13/18,"392,644","323,263","715,907"
6284,1/14/18,"291,206","245,376","536,582"
6285,1/15/18,"463,868","419,604","883,472"
6286,1/16/18,"779,194","710,906","1,490,100"
6287,1/17/18,"787,021","713,680","1,500,701"
6288,1/18/18,"788,150","720,369","1,508,519"
6289,1/19/18,"784,287","701,290","1,485,577"
6290,1/20/18,"438,286","449,322","887,608"
6291,1/21/18,"316,648","259,818","576,466"
6292,1/22/18,"781,955","711,848","1,493,803"
6293,1/23/18,"795,146","733,662","1,528,808"
6294,1/24/18,"808,026","732,420","1,540,446"
6295,1/25/18,"813,348","743,858","1,557,206"
6296,1/26/18,"806,770","722,671","1,529,441"
6297,1/27/18,"455,974","384,419","840,393"
6298,1/28/18,"320,779","268,995","589,774"
6299,1/29/18,"774,310","699,889","1,474,199"
6300,1/30/18,"801,986","723,334","1,525,320"
6301,1/31/18,"815,252","729,419","1,544,671"
6302,2/1/18,"824,632","724,399","1,549,031"
6303,2/2/18,"706,351","657,689","1,364,040"
6304,2/3/18,"435,554","344,309","779,863"
6305,2/4/18,"279,353","232,906","512,259"
6306,2/5/18,"734,272","675,368","1,409,640"
6307,2/6/18,"783,522","708,071","1,491,593"
6308,2/7/18,"790,600","714,000","1,504,600"
6309,2/8/18,"782,384","727,764","1,510,148"
6310,2/9/18,"480,347","490,054","970,401"
6311,2/10/18,"399,759","351,548","751,307"
6312,2/11/18,"294,675","260,148","554,823"
6313,2/12/18,"771,383","692,183","1,463,566"
6314,2/13/18,"832,686","743,502","1,576,188"
6315,2/14/18,"846,174","756,475","1,602,649"
6316,2/15/18,"819,948","746,521","1,566,469"
6317,2/16/18,"803,410","725,091","1,528,501"
6318,2/17/18,"438,472","383,764","822,236"
6319,2/18/18,"345,438","299,983","645,421"
6320,2/19/18,"569,983","523,621","1,093,604"
6321,2/20/18,"786,356","718,493","1,504,849"
6322,2/21/18,"831,241","740,388","1,571,629"
6323,2/22/18,"833,819","743,449","1,577,268"
6324,2/23/18,"820,477","720,769","1,541,246"
6325,2/24/18,"461,537","387,230","848,767"
6326,2/25/18,"347,690","292,093","639,783"
6327,2/26/18,"825,842","718,649","1,544,491"
6328,2/27/18,"846,696","743,269","1,589,965"
6329,2/28/18,"837,820","736,868","1,574,688"
6330,3/1/18,"807,973","724,095","1,532,068"
6331,3/2/18,"838,965","719,445","1,558,410"
6332,3/3/18,"489,631","400,158","889,789"
6333,3/4/18,"360,783","288,394","649,177"
6334,3/5/18,"793,241","686,228","1,479,469"
6335,3/6/18,"818,087","723,274","1,541,361"
6336,3/7/18,"829,608","731,992","1,561,600"
6337,3/8/18,"813,217","734,447","1,547,664"
6338,3/9/18,"806,152","712,092","1,518,244"
6339,3/10/18,"471,143","394,014","865,157"
6340,3/11/18,"339,755","286,948","626,703"
6341,3/12/18,"798,061","715,220","1,513,281"
6342,3/13/18,"808,848","731,938","1,540,786"
6343,3/14/18,"834,401","747,391","1,581,792"
6344,3/15/18,"829,652","754,110","1,583,762"
6345,3/16/18,"808,945","738,857","1,547,802"
6346,3/17/18,"471,682","607,823","1,079,505"
6347,3/18/18,"361,391","320,742","682,133"
6348,3/19/18,"807,848","709,194","1,517,042"
6349,3/20/18,"808,168","710,058","1,518,226"
6350,3/21/18,"815,911","715,243","1,531,154"
6351,3/22/18,"807,829","722,634","1,530,463"
6352,3/23/18,"789,868","699,928","1,489,796"
6353,3/24/18,"424,609","389,468","814,077"
6354,3/25/18,"331,496","306,710","638,206"
6355,3/26/18,"685,230","660,176","1,345,406"
6356,3/27/18,"688,138","684,664","1,372,802"
6357,3/28/18,"719,691","695,373","1,415,064"
6358,3/29/18,"692,129","686,014","1,378,143"
6359,3/30/18,"672,341","608,535","1,280,876"
6360,3/31/18,"428,294","349,132","777,426"
6361,4/1/18,"305,848","238,356","544,204"
6362,4/2/18,"782,016","688,114","1,470,130"
6363,4/3/18,"816,056","720,417","1,536,473"
6364,4/4/18,"823,619","738,079","1,561,698"
6365,4/5/18,"817,204","753,661","1,570,865"
6366,4/6/18,"792,532","721,169","1,513,701"
6367,4/7/18,"466,492","404,650","871,142"
6368,4/8/18,"335,409","283,411","618,820"
6369,4/9/18,"773,663","708,735","1,482,398"
6370,4/10/18,"798,350","748,682","1,547,032"
6371,4/11/18,"849,255","770,269","1,619,524"
6372,4/12/18,"836,193","775,422","1,611,615"
6373,4/13/18,"729,175","716,600","1,445,775"
6374,4/14/18,"417,189","374,923","792,112"
6375,4/15/18,"300,857","258,277","559,134"
6376,4/16/18,"773,294","704,714","1,478,008"
6377,4/17/18,"830,925","759,128","1,590,053"
6378,4/18/18,"783,296","728,207","1,511,503"
6379,4/19/18,"774,579","749,646","1,524,225"
6380,4/20/18,"812,450","735,681","1,548,131"
6381,4/21/18,"455,577","392,721","848,298"
6382,4/22/18,"348,195","294,515","642,710"
6383,4/23/18,"810,268","712,596","1,522,864"
6384,4/24/18,"826,998","743,776","1,570,774"
6385,4/25/18,"838,143","748,866","1,587,009"
6386,4/26/18,"837,802","777,534","1,615,336"
6387,4/27/18,"812,960","752,386","1,565,346"
6388,4/28/18,"480,130","426,851","906,981"
6389,4/29/18,"354,456","327,855","682,311"
6390,4/30/18,"817,980","746,550","1,564,530"
6391,5/1/18,"876,677","777,780","1,654,457"
6392,5/2/18,"834,718","752,143","1,586,861"
6393,5/3/18,"840,135","744,199","1,584,334"
6394,5/4/18,"830,802","736,342","1,567,144"
6395,5/5/18,"506,199","443,358","949,557"
6396,5/6/18,"359,516","315,030","674,546"
6397,5/7/18,"821,267","742,969","1,564,236"
6398,5/8/18,"841,014","781,451","1,622,465"
6399,5/9/18,"803,570","756,378","1,559,948"
6400,5/10/18,"838,748","762,718","1,601,466"
6401,5/11/18,"788,585","744,337","1,532,922"
6402,5/12/18,"440,554","392,468","833,022"
6403,5/13/18,"335,726","306,051","641,777"
6404,5/14/18,"742,924","686,671","1,429,595"
6405,5/15/18,"809,607","728,488","1,538,095"
6406,5/16/18,"824,209","733,303","1,557,512"
6407,5/17/18,"807,735","743,467","1,551,202"
6408,5/18/18,"784,606","717,590","1,502,196"
6409,5/19/18,"461,266","408,091","869,357"
6410,5/20/18,"321,817","288,853","610,670"
6411,5/21/18,"709,633","669,968","1,379,601"
6412,5/22/18,"819,740","762,899","1,582,639"
6413,5/23/18,"827,983","774,273","1,602,256"
6414,5/24/18,"813,320","757,935","1,571,255"
6415,5/25/18,"797,393","730,669","1,528,062"
6416,5/26/18,"474,011","472,471","946,482"
6417,5/27/18,"382,202","375,810","758,012"
6418,5/28/18,"364,119","325,534","689,653"
6419,5/29/18,"797,433","716,137","1,513,570"
6420,5/30/18,"793,348","716,886","1,510,234"
6421,5/31/18,"819,988","753,062","1,573,050"
6422,6/1/18,"851,045","773,824","1,624,869"
6423,6/2/18,"496,149","437,154","933,303"
6424,6/3/18,"383,320","342,776","726,096"
6425,6/4/18,"820,746","726,476","1,547,222"
6426,6/5/18,"826,465","778,366","1,604,831"
6427,6/6/18,"820,198","778,486","1,598,684"
6428,6/7/18,"821,694","798,516","1,620,210"
6429,6/8/18,"779,201","766,692","1,545,893"
6430,6/9/18,"464,236","475,218","939,454"
6431,6/10/18,"332,042","339,387","671,429"
6432,6/11/18,"781,557","724,255","1,505,812"
6433,6/12/18,"807,427","750,111","1,557,538"
6434,6/13/18,"783,799","759,987","1,543,786"
6435,6/14/18,"795,923","754,502","1,550,425"
6436,6/15/18,"775,628","735,211","1,510,839"
6437,6/16/18,"472,932","441,274","914,206"
6438,6/17/18,"351,730","324,959","676,689"
6439,6/18/18,"742,447","722,983","1,465,430"
6440,6/19/18,"779,092","768,531","1,547,623"
6441,6/20/18,"741,682","763,084","1,504,766"
6442,6/21/18,"628,563","683,599","1,312,162"
6443,6/22/18,"669,210","689,577","1,358,787"
6444,6/23/18,"487,366","452,638","940,004"
6445,6/24/18,"382,787","515,034","897,821"
6446,6/25/18,"730,834","709,948","1,440,782"
6447,6/26/18,"714,896","717,661","1,432,557"
6448,6/27/18,"734,332","744,015","1,478,347"
6449,6/28/18,"751,395","758,891","1,510,286"
6450,6/29/18,"748,648","755,938","1,504,586"
6451,6/30/18,"473,766","468,103","941,869"
6452,7/1/18,"353,385","329,670","683,055"
6453,7/2/18,"734,869","678,249","1,413,118"
6454,7/3/18,"771,705","716,848","1,488,553"
6455,7/4/18,"384,885","366,963","751,848"
6456,7/5/18,"652,746","615,715","1,268,461"
6457,7/6/18,"720,068","699,130","1,419,198"
6458,7/7/18,"485,369","439,367","924,736"
6459,7/8/18,"376,335","346,489","722,824"
6460,7/9/18,"742,452","704,612","1,447,064"
6461,7/10/18,"766,160","742,163","1,508,323"
6462,7/11/18,"772,083","765,257","1,537,340"
6463,7/12/18,"755,211","766,466","1,521,677"
6464,7/13/18,"753,196","784,018","1,537,214"
6465,7/14/18,"471,688","455,259","926,947"
6466,7/15/18,"380,142","378,006","758,148"
6467,7/16/18,"731,999","700,335","1,432,334"
6468,7/17/18,"768,143","739,651","1,507,794"
6469,7/18/18,"770,336","745,511","1,515,847"
6470,7/19/18,"765,291","780,813","1,546,104"
6471,7/20/18,"721,413","762,815","1,484,228"
6472,7/21/18,"469,280","483,657","952,937"
6473,7/22/18,"339,813","357,484","697,297"
6474,7/23/18,"742,296","746,950","1,489,246"
6475,7/24/18,"766,503","775,343","1,541,846"
6476,7/25/18,"763,505","768,014","1,531,519"
6477,7/26/18,"758,033","781,151","1,539,184"
6478,7/27/18,"729,506","741,794","1,471,300"
6479,7/28/18,"484,064","453,186","937,250"
6480,7/29/18,"374,591","354,824","729,415"
6481,7/30/18,"718,899","721,661","1,440,560"
6482,7/31/18,"733,107","729,861","1,462,968"
6483,8/1/18,"778,530","757,280","1,535,810"
6484,8/2/18,"743,458","861,954","1,605,412"
6485,8/3/18,"765,341","831,628","1,596,969"
6486,8/4/18,"480,664","521,622","1,002,286"
6487,8/5/18,"368,543","423,810","792,353"
6488,8/6/18,"688,147","687,412","1,375,559"
6489,8/7/18,"710,000","702,495","1,412,495"
6490,8/8/18,"737,497","726,837","1,464,334"
6491,8/9/18,"725,134","727,089","1,452,223"
6492,8/10/18,"728,844","757,214","1,486,058"
6493,8/11/18,"498,035","485,775","983,810"
6494,8/12/18,"372,421","371,962","744,383"
6495,8/13/18,"705,028","681,926","1,386,954"
6496,8/14/18,"722,447","739,143","1,461,590"
6497,8/15/18,"710,743","720,004","1,430,747"
6498,8/16/18,"720,279","712,077","1,432,356"
6499,8/17/18,"702,584","697,625","1,400,209"
6500,8/18/18,"493,509","469,340","962,849"
6501,8/19/18,"380,140","357,318","737,458"
6502,8/20/18,"668,029","672,736","1,340,765"
6503,8/21/18,"714,668","705,759","1,420,427"
6504,8/22/18,"747,818","711,067","1,458,885"
6505,8/23/18,"751,380","748,147","1,499,527"
6506,8/24/18,"692,290","698,828","1,391,118"
6507,8/25/18,"472,537","437,488","910,025"
6508,8/26/18,"358,918","344,736","703,654"
6509,8/27/18,"751,100","740,835","1,491,935"
6510,8/28/18,"751,236","764,285","1,515,521"
6511,8/29/18,"752,668","767,691","1,520,359"
6512,8/30/18,"776,906","780,357","1,557,263"
6513,8/31/18,"773,345","726,643","1,499,988"
6514,9/1/18,"457,556","415,563","873,119"
6515,9/2/18,"393,446","368,715","762,161"
6516,9/3/18,"330,488","293,772","624,260"
6517,9/4/18,"864,262","756,397","1,620,659"
6518,9/5/18,"854,763","785,143","1,639,906"
6519,9/6/18,"819,596","786,139","1,605,735"
6520,9/7/18,"814,560","796,057","1,610,617"
6521,9/8/18,"486,855","460,892","947,747"
6522,9/9/18,"361,946","329,445","691,391"
6523,9/10/18,"844,530","792,245","1,636,775"
6524,9/11/18,"861,007","818,737","1,679,744"
6525,9/12/18,"865,443","835,997","1,701,440"
6526,9/13/18,"851,071","821,484","1,672,555"
6527,9/14/18,"841,332","833,730","1,675,062"
6528,9/15/18,"498,240","505,429","1,003,669"
6529,9/16/18,"375,988","375,547","751,535"
6530,9/17/18,"839,178","794,968","1,634,146"
6531,9/18/18,"846,003","796,654","1,642,657"
6532,9/19/18,"844,257","786,851","1,631,108"
6533,9/20/18,"840,571","812,664","1,653,235"
6534,9/21/18,"829,287","806,274","1,635,561"
6535,9/22/18,"497,023","464,531","961,554"
6536,9/23/18,"373,382","331,323","704,705"
6537,9/24/18,"829,917","806,181","1,636,098"
6538,9/25/18,"843,206","813,982","1,657,188"
6539,9/26/18,"868,419","838,474","1,706,893"
6540,9/27/18,"858,664","847,133","1,705,797"
6541,9/28/18,"824,823","816,264","1,641,087"
6542,9/29/18,"492,591","500,479","993,070"
6543,9/30/18,"365,436","362,732","728,168"